customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,t,2006-02-14,2006-02-15 09:57:20,1
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,t,2006-02-14,2006-02-15 09:57:20,1
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,t,2006-02-14,2006-02-15 09:57:20,1
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,t,2006-02-14,2006-02-15 09:57:20,1
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,t,2006-02-14,2006-02-15 09:57:20,1
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,t,2006-02-14,2006-02-15 09:57:20,1
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,t,2006-02-14,2006-02-15 09:57:20,1
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,t,2006-02-14,2006-02-15 09:57:20,1
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,t,2006-02-14,2006-02-15 09:57:20,1
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,t,2006-02-14,2006-02-15 09:57:20,1
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,t,2006-02-14,2006-02-15 09:57:20,1
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,t,2006-02-14,2006-02-15 09:57:20,1
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,t,2006-02-14,2006-02-15 09:57:20,1
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,t,2006-02-14,2006-02-15 09:57:20,1
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,t,2006-02-14,2006-02-15 09:57:20,1
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,t,2006-02-14,2006-02-15 09:57:20,0
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,t,2006-02-14,2006-02-15 09:57:20,1
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,t,2006-02-14,2006-02-15 09:57:20,1
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,t,2006-02-14,2006-02-15 09:57:20,1
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,t,2006-02-14,2006-02-15 09:57:20,1
